bin start,count
0.000,176
0.004,160
0.008,128
0.012,224
0.016,128
0.020,128
0.023,256
0.027,160
0.031,64
0.035,256
0.039,192
0.043,64
0.047,288
0.051,64
0.055,192
0.059,256
0.062,128
0.066,192
0.070,224
0.074,128
0.078,64
0.082,256
0.086,256
0.090,256
0.094,64
0.098,160
0.102,192
0.105,128
0.109,64
0.113,448
0.117,192
0.121,128
0.125,64
0.129,288
0.133,256
0.137,0
0.141,192
0.145,384
0.148,128
0.152,192
0.156,256
0.160,128
0.164,224
0.168,128
0.172,192
0.176,192
0.180,192
0.184,192
0.188,384
0.191,128
0.195,192
0.199,160
0.203,384
0.207,64
0.211,128
0.215,128
0.219,320
0.223,256
0.227,320
0.230,192
0.234,256
0.238,128
0.242,288
0.246,128
0.250,128
0.254,320
0.258,0
0.262,512
0.266,320
0.270,192
0.273,320
0.277,64
0.281,128
0.285,416
0.289,256
0.293,128
0.297,128
0.301,384
0.305,0
0.309,640
0.312,128
0.316,384
0.320,320
0.324,128
0.328,160
0.332,448
0.336,128
0.340,192
0.344,192
0.348,256
0.352,256
0.355,512
0.359,256
0.363,384
0.367,256
0.371,192
0.375,288
0.379,384
0.383,192
0.387,256
0.391,320
0.395,128
0.398,192
0.402,640
0.406,640
0.410,256
0.414,128
0.418,448
0.422,256
0.426,288
0.430,448
0.434,192
0.438,256
0.441,320
0.445,192
0.449,768
0.453,640
0.457,448
0.461,384
0.465,320
0.469,384
0.473,480
0.477,448
0.480,384
0.484,384
0.488,256
0.492,256
0.496,64
0.500,3104
0.504,256
0.508,256
0.512,384
0.516,384
0.520,448
0.523,480
0.527,384
0.531,320
0.535,384
0.539,448
0.543,640
0.547,768
0.551,192
0.555,320
0.559,256
0.562,192
0.566,448
0.570,288
0.574,256
0.578,448
0.582,128
0.586,256
0.590,640
0.594,640
0.598,192
0.602,128
0.605,320
0.609,256
0.613,192
0.617,384
0.621,288
0.625,192
0.629,256
0.633,384
0.637,256
0.641,512
0.645,256
0.648,256
0.652,192
0.656,192
0.660,128
0.664,448
0.668,160
0.672,128
0.676,320
0.680,384
0.684,128
0.688,640
0.691,0
0.695,384
0.699,128
0.703,128
0.707,256
0.711,416
0.715,128
0.719,64
0.723,320
0.727,192
0.730,320
0.734,512
0.738,0
0.742,320
0.746,64
0.750,192
0.754,288
0.758,128
0.762,256
0.766,192
0.770,320
0.773,256
0.777,320
0.781,128
0.785,128
0.789,64
0.793,384
0.797,160
0.801,192
0.805,128
0.809,384
0.812,192
0.816,192
0.820,192
0.824,192
0.828,128
0.832,224
0.836,128
0.840,256
0.844,192
0.848,128
0.852,384
0.855,192
0.859,0
0.863,256
0.867,288
0.871,64
0.875,128
0.879,192
0.883,448
0.887,64
0.891,128
0.895,192
0.898,160
0.902,64
0.906,256
0.910,256
0.914,256
0.918,64
0.922,128
0.926,224
0.930,192
0.934,128
0.938,256
0.941,192
0.945,64
0.949,288
0.953,64
0.957,192
0.961,256
0.965,64
0.969,160
0.973,256
0.977,128
0.980,128
0.984,224
0.988,128
0.992,160
0.996,176
