bin start,count
3.903E-6,255
0.004,278
0.008,284
0.012,276
0.016,213
0.020,232
0.023,254
0.027,264
0.031,231
0.035,249
0.039,234
0.043,256
0.047,228
0.051,251
0.055,289
0.059,243
0.063,260
0.066,250
0.070,284
0.074,254
0.078,253
0.082,273
0.086,252
0.090,265
0.094,263
0.098,256
0.102,232
0.105,235
0.109,261
0.113,234
0.117,236
0.121,254
0.125,251
0.129,253
0.133,273
0.137,219
0.141,296
0.145,259
0.148,265
0.152,274
0.156,259
0.160,257
0.164,261
0.168,273
0.172,280
0.176,229
0.180,252
0.184,253
0.188,264
0.191,258
0.195,253
0.199,236
0.203,278
0.207,244
0.211,249
0.215,233
0.219,274
0.223,261
0.227,256
0.230,253
0.234,258
0.238,255
0.242,254
0.246,247
0.250,230
0.254,259
0.258,233
0.262,279
0.266,239
0.270,245
0.273,220
0.277,263
0.281,259
0.285,279
0.289,274
0.293,269
0.297,239
0.301,259
0.305,238
0.309,219
0.313,285
0.316,235
0.320,247
0.324,270
0.328,245
0.332,271
0.336,268
0.340,243
0.344,271
0.348,259
0.352,282
0.355,244
0.359,252
0.363,277
0.367,272
0.371,241
0.375,250
0.379,254
0.383,251
0.387,264
0.391,244
0.395,226
0.398,230
0.402,238
0.406,266
0.410,219
0.414,291
0.418,254
0.422,251
0.426,245
0.430,257
0.434,247
0.438,262
0.441,245
0.445,275
0.449,265
0.453,239
0.457,251
0.461,259
0.465,266
0.469,269
0.473,252
0.477,254
0.480,276
0.484,256
0.488,259
0.492,265
0.496,269
0.500,252
0.504,238
0.508,262
0.512,282
0.516,286
0.520,269
0.523,267
0.527,284
0.531,244
0.535,238
0.539,260
0.543,298
0.547,237
0.551,261
0.555,254
0.559,259
0.563,256
0.566,249
0.570,248
0.574,292
0.578,283
0.582,266
0.586,265
0.590,262
0.594,255
0.598,282
0.602,273
0.605,271
0.609,254
0.613,234
0.617,256
0.621,238
0.625,264
0.629,265
0.633,239
0.637,245
0.641,263
0.645,270
0.648,261
0.652,261
0.656,264
0.660,224
0.664,274
0.668,264
0.672,250
0.676,237
0.680,259
0.684,260
0.688,257
0.691,235
0.695,256
0.699,265
0.703,259
0.707,239
0.711,251
0.715,235
0.719,231
0.723,245
0.727,255
0.730,284
0.734,244
0.738,241
0.742,281
0.746,268
0.750,221
0.754,260
0.758,259
0.762,276
0.766,277
0.770,262
0.773,249
0.777,263
0.781,281
0.785,232
0.789,248
0.793,241
0.797,243
0.801,258
0.805,232
0.809,250
0.813,263
0.816,268
0.820,253
0.824,231
0.828,256
0.832,265
0.836,287
0.840,244
0.844,250
0.848,260
0.852,261
0.855,254
0.859,276
0.863,280
0.867,261
0.871,250
0.875,287
0.879,240
0.883,247
0.887,252
0.891,256
0.895,282
0.898,263
0.902,227
0.906,245
0.910,252
0.914,251
0.918,220
0.922,246
0.926,225
0.930,296
0.934,275
0.938,280
0.941,237
0.945,251
0.949,262
0.953,261
0.957,234
0.961,233
0.965,261
0.969,257
0.973,247
0.977,245
0.980,257
0.984,298
0.988,272
0.992,263
0.996,241
